2014-10-13 18:40:44 startup archives install
2014-10-13 18:40:44 install base-files <none> 6.0squeeze10
2014-10-13 18:40:44 status half-installed base-files 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 install base-passwd <none> 3.5.22
2014-10-13 18:40:44 status half-installed base-passwd 3.5.22
2014-10-13 18:40:44 status unpacked base-passwd 3.5.22
2014-10-13 18:40:44 status unpacked base-passwd 3.5.22
2014-10-13 18:40:44 configure base-passwd 3.5.22 3.5.22
2014-10-13 18:40:44 status unpacked base-passwd 3.5.22
2014-10-13 18:40:44 status half-configured base-passwd 3.5.22
2014-10-13 18:40:44 status installed base-passwd 3.5.22
2014-10-13 18:40:44 configure base-files 6.0squeeze10 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 status unpacked base-files 6.0squeeze10
2014-10-13 18:40:44 status half-configured base-files 6.0squeeze10
2014-10-13 18:40:44 status installed base-files 6.0squeeze10
2014-10-13 18:40:44 startup archives install
2014-10-13 18:40:44 upgrade dpkg 1.15.11 1.15.11
2014-10-13 18:40:44 status half-configured dpkg 1.15.11
2014-10-13 18:40:44 status unpacked dpkg 1.15.11
2014-10-13 18:40:44 status half-installed dpkg 1.15.11
2014-10-13 18:40:45 status half-installed dpkg 1.15.11
2014-10-13 18:40:45 status unpacked dpkg 1.15.11
2014-10-13 18:40:45 status unpacked dpkg 1.15.11
2014-10-13 18:40:45 configure dpkg 1.15.11 1.15.11
2014-10-13 18:40:45 status unpacked dpkg 1.15.11
2014-10-13 18:40:45 status unpacked dpkg 1.15.11
2014-10-13 18:40:45 status unpacked dpkg 1.15.11
